"t","rx","ry","rz","theta","phi"
"131/20",-0.6736890931028513,-0.7390111370193274,0.00009574195947825714,1.570700584835272,-2.309988261831317
"197/30",-0.5927529859393064,-0.8053841544397715,0.0001960553578426727,1.5706002714357978,-2.205269207849308
"79/12",-0.5053288173673705,-0.8629257474619144,0.0014279279669276446,1.569368398342716,-2.1005598667965613
"33/5",-0.41238911723924754,-0.9109969398335762,0.0037834666842537223,1.5670128510841033,-1.9958758160372223
"397/60",-0.31497154522051146,-0.949072871265223,0.007248347795368593,1.5635479155284187,-1.891231896007917
"199/30",-0.21415806012918448,-0.9767282097827092,0.011799947710949332,1.5589961052317616,-1.786641303009407
"133/20",-0.11107116575396303,-0.993657323626268,0.01740898789727552,1.5533864594123783,-1.682114380289034
"20/3",-0.006860453461848992,-0.9996864791416565,0.02404054072911782,1.54675346976785,-1.5776588240973528
"401/60",0.09731386888937726,-0.9947511015780207,0.03165190784958066,1.5391391315194285,-1.4732792677443247
"67/10",0.20029046649355853,-0.9789092479031547,0.04019405316438601,1.53059144309128,-1.3689761035550496
"403/60",0.30092350302869675,-0.9523553920349341,0.049613498394937894,1.5211624518900448,-1.2647458898145003
"101/15",0.3980918270452749,-0.9153922396135523,0.05984991358683245,1.5109106249710735,-1.1605815234546404
"27/4",0.490710498538316,-0.8684359429689152,0.07083724146152692,1.4998997086190051,-1.0564712141299382
"203/30",0.5777523648616176,-0.8120291675574525,0.08250655086043251,1.4881958797844828,-0.9523990895672223
"407/60",0.6582487788634914,-0.7468111833427398,0.09478335849973801,1.4758704709931931,-0.848345939334916
"34/5",0.731299227647889,-0.6735150875051326,0.10758829612419896,1.4629993819268408,-0.7442883997259271
"409/60",0.7960978198160346,-0.5929768787533374,0.12084092477339237,1.4496593553150636,-0.6401997140455065
"41/6",0.8519264490375027,-0.5061075403776127,0.1344569196863858,1.4359309417133526,-0.5360509156704548
"137/20",0.8981591469760429,-0.4138842264503425,0.14834809395454962,1.4218986526732624,-0.43181029599028464
"103/15",0.9342913218950171,-0.31735233522613415,0.16242705458826484,1.407646450851341,-0.327444209309923
